역명,주소
남한산성입구,경기도 성남시 수정구 단대동4769
제기동,서울특별시 동대문구 제기동지하51번지
대야미,경기도 안산시 상록구 대야미동233-4
상왕십리,서울특별시 성동구 하왕십리2동946-14
하남시청,경기도 하남시 미사강변동로
우장산,서울특별시 강서구 내발산동723
연천,경기도 연천군 연천읍 연천로273-7
강남,서울특별시 강남구 역삼동821-1
건대입구,서울특별시 광진구 화양동7-3
성신여대입구,서울특별시 성북구 동선동 4가1
온수,서울특별시 구로구 온수동51-7
안암,서울특별시 성북구 안암동5가146
수리산,경기도 군포시 산본동1231-1
전곡,경기도 연천군 전곡읍 전곡역로75
춘의,경기도 부천시 원미구 길주로 지하406
봉천,서울특별시 관악구 봉천8동930-45
강동구청,서울특별시 강동구 성내동319
신금호,서울특별시 성동구 금호2가동223-1
잠실,서울특별시 송파구 신천동1
대공원,경기도 과천시 과천동727-1
증산,서울특별시 은평구 증산동199-8
옥수,서울특별시 성동구 옥수동168-1
하남검단산,경기도 하남시 대청로 100
천호,서울특별시 강동구 천호2동455
송파,서울특별시 송파구 가락동479
동인천,인천광역시 중구 인현동1-1
명일,서울특별시 강동구 명일동312
서초,서울특별시 서초구 서초3동1500
종합운동장,서울특별시 송파구 잠실1동1-236
중동,경기도 부천시 소사구 송내동632
구파발,서울특별시 은평구 진관동533
수서,서울특별시 강남구 수서동439-2
고려대,서울특별시 성북구 안암동5가1-2
청산,경기도 연천군 청산면 청신로72
부평,인천광역시 부평구 부평동534-1
장암,경기도 의정부시 장암동164-9
광흥창,서울특별시 마포구 창전동145
녹양,경기도 의정부시 녹양동97-3
충무로,서울특별시 중구 충무로4가125
상도,서울특별시 동작구 상도1동752-2
독바위,서울특별시 은평구 불광1동13-33
송내,경기도 부천시 소사구 송내동632-4
부천,경기도 부천시 소사구 심곡본동316-2
외대앞,서울특별시 동대문구 이문동
군자,서울특별시 광진구 능동277
신대방,서울특별시 동작구 신대방1동643-1
신당,서울특별시 중구 신당5동106-1
을지로4가,서울특별시 중구 을지로4가261
강변,서울특별시 광진구 구의3동546-6
동암,인천광역시 부평구 십정2동474-1
잠실새내,서울특별시 송파구 잠실본동5
고속터미널,서울특별시 서초구 반포1동162
낙성대,서울특별시 관악구 봉천6동1693-38
삼산체육관,인천광역시 부평구 길주로 지하713
대방,서울특별시 영등포구 신길7동1336
청담,서울특별시 강남구 청담동75-1
강동,서울특별시 강동구 천호3동447
신림,서울특별시 관악구 신림본동1640-1
자양(뚝섬한강공원),서울 광진구 능동로 10
당고개,서울 노원구 상계로 305
능길,경기 안산시 단원구 황고개로 2
별내별가람,경기 남양주시 별내3로 345
서울역,서울 중구 세종대로 2
오남,경기 남양주시 오남읍 진건오남로 929
신촌(지하),서울 마포구 신촌로 90
진접,경기 남양주시 진접읍 경복대로 244
